fname,labels
ac9e7a91.wav,Church_bell
32ec2454.wav,Computer_keyboard
af7b5bab.wav,Scissors
7e8cd849.wav,Purr
fdfbf113.wav,Gasp
e3489c1e.wav,Tap
19105052.wav,Computer_keyboard
63f15f13.wav,Zipper_(clothing)
bfb49218.wav,Stream
1d721e8a.wav,Chink_and_clink
1b7bfce2.wav,Zipper_(clothing)
d05efc4e.wav,Toilet_flush
76f87729.wav,Purr
edd6936f.wav,Run
a0ada026.wav,Zipper_(clothing)
7a5e5707.wav,Shatter
42126f20.wav,Church_bell
0d06ee8b.wav,Toilet_flush
75ba74db.wav,Car_passing_by
1536cdfe.wav,Zipper_(clothing)
f0b26cfb.wav,Tick-tock
bd590943.wav,Zipper_(clothing)
49cc7d13.wav,Zipper_(clothing)
1a598ecc.wav,Zipper_(clothing)
bfa6c58b.wav,Male_speech_and_man_speaking
845b9b61.wav,Purr
55cf17c7.wav,Child_speech_and_kid_speaking
7a72cf5d.wav,Male_singing
ad4fee9e.wav,Male_singing
fcd34fbf.wav,Male_singing
735fe89e.wav,Scissors
46dc70fc.wav,Zipper_(clothing)
2a0c0987.wav,Purr
0435216a.wav,Keys_jangling
43348c06.wav,Buzz
bacae58a.wav,Frying_(food)
ba029236.wav,Frying_(food)
74413d46.wav,Church_bell
45e821c3.wav,Meow
a0a85eae.wav,Meow
4e83f40d.wav,Hi-hat
20adca87.wav,Hi-hat
14c64597.wav,Toilet_flush
7b0c6614.wav,Church_bell
47b3a2d0.wav,Knock
f7178c2a.wav,Writing
c139afa9.wav,Microwave_oven
e6dfd952.wav,Frying_(food)
8182600b.wav,Frying_(food)
beef428f.wav,Frying_(food)
f988930a.wav,Frying_(food)
8c862be7.wav,Frying_(food)
a3c8a463.wav,Waves_and_surf
5d506354.wav,Cricket
a12581b4.wav,Hi-hat
5dff45c9.wav,Hi-hat
4d12f731.wav,Fill_(with_liquid)
67722d33.wav,Zipper_(clothing)
aa8d36ba.wav,Zipper_(clothing)
87febe0b.wav,Chewing_and_mastication
7290783b.wav,Zipper_(clothing)
c20d1733.wav,Zipper_(clothing)
dfe243ac.wav,Zipper_(clothing)
9cfed0c4.wav,Toilet_flush
63aecdfb.wav,Church_bell
7e97ba69.wav,Fill_(with_liquid)
1dcff5d3.wav,Church_bell
40d9de68.wav,Bicycle_bell
b7b2c6b6.wav,Traffic_noise_and_roadway_noise
64f50c86.wav,Accelerating_and_revving_and_vroom
ac24e081.wav,Chewing_and_mastication
1b288941.wav,Printer
5c458f3c.wav,Gurgling
289bba34.wav,Chewing_and_mastication
f834cdd3.wav,Chewing_and_mastication
7ea9dcb5.wav,Scissors
83ececad.wav,Drawer_open_or_close
13313897.wav,Zipper_(clothing)
f46cc65b.wav,Drawer_open_or_close
83a9905e.wav,Screaming
f0c27439.wav,Cricket
6b8344e5.wav,Cricket
4e6e8074.wav,Buzz
f76f4fa9.wav,Chirp_and_tweet
6da76f09.wav,Fart
455e896e.wav,Screaming
a4d19e33.wav,Shatter
8695cc8e.wav,Drawer_open_or_close
c0a84462.wav,Clapping
c253e73f.wav,Hiss
50ee09a3.wav,Bass_drum
7236123a.wav,Knock
30d548d8.wav,Tap
237ae73c.wav,Male_singing
2430b5f2.wav,Male_singing
086eb83c.wav,Slam
8c225bfb.wav,Car_passing_by
37cf0d4e.wav,Burping_and_eructation
380fc4c1.wav,Tick-tock
b98157b9.wav,Meow
74eee838.wav,Stream
59099afd.wav,Purr
d1f89c54.wav,Hiss
1829fa7f.wav,Scissors
a8e4a91e.wav,Scissors
9796192d.wav,Scissors
88053677.wav,Scissors
a5e041fb.wav,Scissors
