,fname,labels,chroma_stft,mfccs_0,mfccs_1,mfccs_10,mfccs_11,mfccs_12,mfccs_13,mfccs_14,mfccs_15,mfccs_16,mfccs_17,mfccs_18,mfccs_19,mfccs_2,mfccs_3,mfccs_4,mfccs_5,mfccs_6,mfccs_7,mfccs_8,mfccs_9,rolloff,spectral_bandwidth,spectral_centroid,zero_crossing_rate
0,ac9e7a91.wav,Church_bell,0.47921538,-170.1655,167.43213,-2.0617745,5.0269327,-0.049024817,2.770387,-5.314012,-1.2796603,-5.056097,-1.9489831,-6.0192595,-4.2986298,-23.678709,12.0006275,-14.1340885,10.583515,-7.5628695,2.2401192,-7.1754656,1.2725205,2485.711032663863,1567.520643982311,1328.2426504090517,0.06940391168793504
1,65ae847e.wav,Frying_(food),0.58188003,-152.37631,-25.576666,-11.07951,-3.962794,1.8379238,17.0349,0.900431,-4.1945477,-15.471757,-4.77849,-4.7625113,4.0420957,-39.92891,-3.3865902,-14.393668,-4.354677,-12.10739,-0.23022167,-10.591919,-0.69768167,8190.985659712152,2731.856051521338,4837.437548655949,0.39347085266821347
2,32ec2454.wav,Computer_keyboard,0.5943177,-430.11172,72.56481,0.55622655,10.302031,6.116088,11.280382,2.3824193,8.818457,3.780853,6.4300604,6.2478814,6.2100368,0.15240692,34.508446,7.4037013,20.482264,19.327242,14.715309,8.239096,13.407251,4712.474056518271,2468.6146634414968,2206.9538670760267,0.04698829031322506
3,af7b5bab.wav,Scissors,0.35863367,-565.965,119.060165,3.2161047,7.391394,5.467248,5.9487576,2.3374956,7.763258,6.292786,8.008763,3.9085703,7.3848314,44.4688,41.266975,25.366888,18.119717,11.444,8.117064,7.3840184,4.840681,1867.3433874709976,1994.7478992148733,1065.5944773055305,0.025296594040023202
4,7e8cd849.wav,Purr,0.48025182,-277.4899,129.39723,-9.615869,6.5951996,-6.418371,5.1035233,2.1818807,-10.508094,4.4716115,3.5583968,-5.2243924,-0.6591053,21.46928,6.5612974,-6.6117063,22.031647,9.367394,2.5838132,-11.835415,-6.0477057,3717.1219675164475,2311.804774751751,1705.5738898658597,0.07294236567982457
5,fdfbf113.wav,Gasp,0.5259773,-468.0405,69.40048,13.610756,7.852728,-9.251375,-5.9636965,9.241451,10.96059,-5.9428062,-2.2638967,-3.1911523,-3.5987349,-29.577826,3.1810226,-0.6665848,7.415254,3.5938444,6.3661695,-12.808352,10.081703,5897.2643400493425,2572.06259595841,2891.978494024865,0.15545333059210525
6,130aa63f.wav,"Applause,Cheering",0.51887774,-109.61019,87.20367,-12.374003,-1.346953,-10.763249,-5.849338,-7.7522006,-2.3124318,-6.2757807,1.5837178,-4.712582,0.90086454,-57.451237,-19.95159,-16.795462,-5.464726,-23.746777,-7.854515,-10.412383,-3.8956282,4345.635207457221,2165.598269831486,2345.8302846485494,0.13408135150812064
7,db198721.wav,"Applause,Crowd,Cheering",0.489373,-127.47541,93.0221,-13.491564,-1.4119054,-8.050159,-1.9923114,-6.8500495,-1.6458666,-6.232225,-0.25479585,-6.492738,-0.5600268,-60.196476,-27.403585,-17.983366,-4.4128976,-25.749802,-13.232024,-13.25824,-4.9325204,3926.231075573519,2078.0072630955783,2188.3072352575964,0.12027665507586706
8,492c192f.wav,"Applause,Cheering",0.5335343,-82.75424,73.291336,-13.013567,0.060758337,-10.442951,-4.542702,-7.4788055,-0.40217862,-6.617993,0.9922277,-5.2973638,1.7284882,-67.865105,-22.394432,-14.070469,-8.387283,-25.519197,-8.040483,-9.098405,-6.9646955,4606.406793793503,2193.6682782089792,2543.855067565709,0.15968043068445475
9,586ab251.wav,"Applause,Cheering",0.6063299,-99.94844,86.35095,-14.808384,-2.9985466,-10.278458,-3.5984077,-7.0070753,-1.0428013,-5.9267225,1.102153,-5.018302,1.6233853,-59.508434,-20.006474,-14.288371,-1.7687731,-20.106089,-8.889304,-11.129763,-4.19524,4383.6555498658645,2170.002970396954,2379.732805690029,0.1427548578886311
10,5c35f4ad.wav,"Applause,Crowd,Cheering",0.5949044,-144.53331,88.114815,-14.057644,-2.6630704,-9.094476,-1.7327048,-4.2016034,2.0726001,-5.6650763,2.7795365,-5.4388833,1.568207,-71.210106,-19.529778,-7.0922637,-4.5912724,-22.027668,-7.362464,-10.658099,-6.655602,3818.6070797217153,1999.6680935854786,2319.235701161057,0.15115334169708028
11,3ed445a9.wav,"Applause,Cheering",0.5348743,-121.70485,94.03353,-13.221615,-1.9072467,-9.524548,-4.333643,-7.603551,-3.2040925,-6.692245,0.43152624,-5.2578964,0.8101421,-50.44035,-16.433348,-14.842688,-0.6161795,-21.195082,-11.0081625,-13.329763,-5.047965,4409.660265008701,2163.649658873869,2309.925765741798,0.13186426007830626
12,4771c0af.wav,"Sink_(filling_or_washing),Water_tap_and_faucet",0.62409467,-245.10286,13.14172,4.0212526,-0.31332362,-4.7896757,4.118273,-1.0015289,4.8539915,1.7587234,3.147976,4.5220346,4.86931,-5.5216446,15.123025,6.3279824,6.224086,-0.5273186,5.8328333,-3.834385,5.435133,8272.1337890625,2996.087124729607,4550.383060942568,0.35730096726190474
13,e3489c1e.wav,Tap,0.49512503,-589.4707,-1.7602174,0.92315084,-0.8747704,-4.871529,-2.3123837,1.2901338,3.4231343,-5.3288913,-0.8766793,-1.1625642,1.8191444,-32.04536,-13.352472,7.7518263,5.1506405,-6.077894,-5.578293,-5.0759583,6.279271,7859.123606661872,2862.96075633853,4196.244934434391,0.3289708093619247
14,19105052.wav,Computer_keyboard,0.6025609,-387.20715,65.35438,2.3835325,15.663477,5.585011,8.967817,5.3361797,10.510604,1.9636862,3.2631767,-4.8045397,2.9896855,-26.208622,27.98272,-0.62939966,8.951206,10.988184,4.824702,3.472587,16.575645,4883.790421983758,2341.357741574771,2656.5102922137894,0.06887597882830626
15,63f15f13.wav,Zipper_(clothing),0.7018944,-368.76782,61.64834,-1.2746547,3.3766897,-2.8201005,3.2316523,-4.8741293,3.3052783,-3.932084,1.7670505,-2.6282177,1.6622248,6.7071066,14.08202,-1.5795033,12.404773,-0.74745136,6.4018726,0.5124708,2.0386796,7228.361550174014,3002.560279520246,3438.5686055747997,0.20264238326566125
16,bfb49218.wav,Stream,0.61184746,-35.67597,56.500862,-8.209354,-0.4018935,-5.461403,-2.883085,-6.194188,-3.3219688,-4.708688,0.9116858,-4.1858816,1.1354567,-36.723797,-19.44137,-16.615887,-8.850134,-11.359243,1.1544516,-12.234275,3.4773028,6916.9794423397625,2778.9828422756505,3243.3086563955376,0.19474264972447797
17,1d721e8a.wav,Chink_and_clink,0.43520126,-387.80896,114.01649,-3.5114079,0.93923575,-3.2865338,-1.094087,-5.8541336,-5.4061155,2.1342926,-0.4537214,-3.3851225,-2.6823575,-12.952464,2.5319042,-6.848875,-0.53450567,-10.424442,-9.280777,-8.182729,-4.6241794,3708.0575469475057,2048.114672781638,1866.6238291504799,0.09662983976218098
18,8b79c425.wav,"Sink_(filling_or_washing),Water_tap_and_faucet",0.52874905,-291.70496,100.20809,-6.1690216,2.1151137,-7.9618063,-0.44715255,-10.9371395,-3.7560763,-8.632791,1.2597107,-4.604563,-0.5754111,-6.7046022,2.3818552,-11.0205145,3.0842924,-8.47592,-2.5170357,-12.794457,-2.6266637,5227.4973150195765,2538.4253291584314,2459.777653658699,0.10624138993619489
19,1b7bfce2.wav,Zipper_(clothing),0.6513345,-303.17117,73.30689,-1.7066585,2.6248407,-4.1445575,2.9873116,-5.508975,2.0657387,-4.6610465,-0.6888871,-3.725707,-0.23113383,8.313786,14.147659,-4.319115,10.723851,-0.11003123,5.268563,0.42277166,2.64117,6751.558478193881,2941.719706544285,3053.490860288393,0.13569460556844548
20,d05efc4e.wav,Toilet_flush,0.4616828,-508.06488,65.342125,-3.1797092,7.2844634,0.62046653,1.5749775,-11.890205,-6.2343187,-13.26507,-7.798208,-7.900753,0.2280003,-26.298777,36.037766,11.260995,-3.7345269,-6.842838,9.640341,1.331775,-0.37622467,4694.513066904728,2263.797864127568,2585.7298302664735,0.14635975565545242
21,e5d3e758.wav,"Bathtub_(filling_or_washing),Water_tap_and_faucet",0.7287579,-415.93146,25.17822,-4.2280283,3.5609622,-2.5425286,6.3427362,-2.3812904,3.1363902,-2.8340619,3.2965212,-1.2944583,3.6025636,19.356422,-0.49098915,-14.275744,9.308706,-7.719836,1.4462177,-7.220032,2.8637564,8452.68152506888,3108.445408816174,4850.178277574005,0.39802625616299303
22,9940db05.wav,"Bathtub_(filling_or_washing),Water_tap_and_faucet",0.7329259,-395.97595,28.485601,-2.76847,1.8059247,-2.6853209,3.581585,-3.4361527,0.9111263,-4.2796326,1.0673175,-2.8153033,2.0008426,13.82353,-2.0060828,-11.345053,11.645453,-5.2507477,-0.80764663,-4.877124,2.268911,8464.647191306554,3133.6105855037713,4709.97830702537,0.378842807424594
